Date/Time,Year,Month,Day,Time,Data Quality,Temp (°C),Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
1/1/2016 0:00,2016,1,1,0:00, ,-6.8,,-7.7,,93,,29,,10,,,,97.86,,,,-11,,NA
1/1/2016 1:00,2016,1,1,1:00, ,-7.1,,-8,,94,,29,,8,,,,97.81,,,,-11,,NA
1/1/2016 2:00,2016,1,1,2:00, ,-7.3,,-7.9,,96,,30,,6,,,,97.75,,,,-10,,NA
1/1/2016 3:00,2016,1,1,3:00, ,-7.3,,-7.9,,95,,28,,7,,,,97.75,,,,-11,,NA
1/1/2016 4:00,2016,1,1,4:00, ,-7.4,,-8,,95,,29,,4,,,,97.74,,,,-9,,NA
1/1/2016 5:00,2016,1,1,5:00, ,-7.4,,-8.1,,95,,29,,6,,,,97.7,,,,-11,,NA
1/1/2016 6:00,2016,1,1,6:00, ,-7.7,,-8.3,,95,,27,,4,,,,97.67,,,,-10,,NA
1/1/2016 7:00,2016,1,1,7:00, ,-7.4,,-8,,96,,23,,3,,,,97.69,,,,-9,,NA
1/1/2016 8:00,2016,1,1,8:00, ,-7.6,,-8.3,,95,,30,,5,,,,97.66,,,,-10,,NA
1/1/2016 9:00,2016,1,1,9:00, ,-7.2,,-7.9,,95,,26,,4,,,,97.67,,,,-9,,NA
1/1/2016 10:00,2016,1,1,10:00, ,-6.8,,-7.5,,95,,25,,5,,,,97.66,,,,-9,,NA
1/1/2016 11:00,2016,1,1,11:00, ,-6,,-7.5,,89,,27,,13,,,,97.64,,,,-11,,NA
1/1/2016 12:00,2016,1,1,12:00, ,-6,,-8.6,,82,,27,,13,,,,97.59,,,,-11,,NA
1/1/2016 13:00,2016,1,1,13:00, ,-5.5,,-8.4,,80,,28,,14,,,,97.49,,,,-11,,NA
1/1/2016 14:00,2016,1,1,14:00, ,-5.2,,-8.6,,77,,28,,11,,,,97.47,,,,-10,,NA
1/1/2016 15:00,2016,1,1,15:00, ,-4.7,,-8.2,,77,,26,,12,,,,97.46,,,,-9,,NA
1/1/2016 16:00,2016,1,1,16:00, ,-5.2,,-7.9,,81,,24,,9,,,,97.46,,,,-9,,NA
1/1/2016 17:00,2016,1,1,17:00, ,-4.9,,-7.1,,84,,23,,8,,,,97.44,,,,-8,,NA
1/1/2016 18:00,2016,1,1,18:00, ,-5.3,,-7,,88,,19,,3,,,,97.42,,,,-7,,NA
1/1/2016 19:00,2016,1,1,19:00, ,-4.9,,-6.6,,88,,21,,8,,,,97.39,,,,-8,,NA
1/1/2016 20:00,2016,1,1,20:00, ,-5.3,,-6.7,,90,,15,,8,,,,97.4,,,,-9,,NA
1/1/2016 21:00,2016,1,1,21:00, ,-6.8,,-7.3,,96,,20,,8,,,,97.37,,,,-11,,NA
1/1/2016 22:00,2016,1,1,22:00, ,-6.2,,-7.2,,93,,22,,8,,,,97.34,,,,-10,,NA
1/1/2016 23:00,2016,1,1,23:00, ,-6.4,,-7.5,,92,,23,,7,,,,97.29,,,,-10,,NA
1/2/2016 0:00,2016,1,2,0:00, ,-8.6,,-9.3,,95,,26,,6,,,,97.29,,,,-12,,NA
1/2/2016 1:00,2016,1,2,1:00, ,-8.5,,-8.7,,98,,15,,4,,,,97.27,,,,-11,,NA
1/2/2016 2:00,2016,1,2,2:00, ,-7.5,,-8,,96,,23,,6,,,,97.25,,,,-11,,NA
1/2/2016 3:00,2016,1,2,3:00, ,-7.4,,-7.8,,97,,20,,7,,,,97.27,,,,-11,,NA
1/2/2016 4:00,2016,1,2,4:00, ,-8.7,,-9.1,,97,,21,,8,,,,97.27,,,,-13,,NA
1/2/2016 5:00,2016,1,2,5:00, ,-7.8,,-8.4,,96,,21,,11,,,,97.24,,,,-13,,NA
1/2/2016 6:00,2016,1,2,6:00, ,-8.2,,-8.8,,95,,20,,7,,,,97.27,,,,-12,,NA
1/2/2016 7:00,2016,1,2,7:00, ,-8.5,,-9.4,,93,,19,,11,,,,97.28,,,,-14,,NA
1/2/2016 8:00,2016,1,2,8:00, ,-8.5,,-9.3,,94,,21,,8,,,,97.26,,,,-13,,NA
1/2/2016 9:00,2016,1,2,9:00, ,-8.3,,-9.3,,92,,20,,7,,,,97.31,,,,-12,,NA
1/2/2016 10:00,2016,1,2,10:00, ,-6.5,,-7.8,,91,,19,,10,,,,97.32,,,,-11,,NA
1/2/2016 11:00,2016,1,2,11:00, ,-5.4,,-7.5,,85,,24,,10,,,,97.32,,,,-10,,NA
1/2/2016 12:00,2016,1,2,12:00, ,-4,,-6.9,,80,,26,,25,,,,97.23,,,,-11,,NA
1/2/2016 13:00,2016,1,2,13:00, ,-4,,-6.8,,80,,25,,22,,,,97.18,,,,-11,,NA
1/2/2016 14:00,2016,1,2,14:00, ,-3.3,,-7.2,,75,,25,,26,,,,97.17,,,,-10,,NA
1/2/2016 15:00,2016,1,2,15:00, ,-3.6,,-7.1,,77,,25,,26,,,,97.15,,,,-11,,NA
1/2/2016 16:00,2016,1,2,16:00, ,-3.2,,-6.4,,79,,24,,19,,,,97.21,,,,-9,,NA
1/2/2016 17:00,2016,1,2,17:00, ,-3.5,,-6.1,,82,,24,,20,,,,97.23,,,,-10,,NA
1/2/2016 18:00,2016,1,2,18:00, ,-4.1,,-6.4,,84,,24,,18,,,,97.25,,,,-10,,NA
1/2/2016 19:00,2016,1,2,19:00, ,-4.4,,-6.7,,84,,24,,20,,,,97.25,,,,-11,,NA
1/2/2016 20:00,2016,1,2,20:00, ,-5.3,,-7.2,,87,,25,,10,,,,97.33,,,,-10,,NA
1/2/2016 21:00,2016,1,2,21:00, ,-5.2,,-6.7,,89,,23,,9,,,,97.33,,,,-9,,NA
1/2/2016 22:00,2016,1,2,22:00, ,-5.7,,-7.4,,88,,24,,10,,,,97.34,,,,-10,,NA
1/2/2016 23:00,2016,1,2,23:00, ,-5.5,,-7.3,,87,,21,,7,,,,97.33,,,,-9,,NA
1/3/2016 0:00,2016,1,3,0:00, ,-5.5,,-6.9,,90,,20,,5,,,,97.34,,,,-8,,NA
1/3/2016 1:00,2016,1,3,1:00, ,-5.2,,-6.5,,91,,20,,9,,,,97.38,,,,-9,,NA
1/3/2016 2:00,2016,1,3,2:00, ,-5.6,,-7,,90,,24,,11,,,,97.33,,,,-10,,NA
1/3/2016 3:00,2016,1,3,3:00, ,-5.7,,-6.8,,92,,18,,5,,,,97.38,,,,-8,,NA
1/3/2016 4:00,2016,1,3,4:00, ,-6,,-6.9,,94,,20,,9,,,,97.37,,,,-10,,NA
1/3/2016 5:00,2016,1,3,5:00, ,-6.1,,-6.7,,95,,19,,5,,,,97.35,,,,-9,,NA
1/3/2016 6:00,2016,1,3,6:00, ,-5.6,,-6.1,,96,,18,,5,,,,97.33,,,,-8,,NA
1/3/2016 7:00,2016,1,3,7:00, ,-5.2,,-5.6,,97,,15,,6,,,,97.34,,,,-8,,NA
1/3/2016 8:00,2016,1,3,8:00, ,-4.7,,-5,,97,,16,,8,,,,97.34,,,,-8,,NA
1/3/2016 9:00,2016,1,3,9:00, ,-4.4,,-4.7,,98,,13,,6,,,,97.32,,,,-7,,NA
1/3/2016 10:00,2016,1,3,10:00, ,-3.7,,-4.2,,97,,15,,9,,,,97.31,,,,-7,,NA
1/3/2016 11:00,2016,1,3,11:00, ,-3.1,,-3.6,,96,,18,,10,,,,97.32,,,,-7,,NA
1/3/2016 12:00,2016,1,3,12:00, ,-2.7,,-3.3,,96,,19,,11,,,,97.25,,,,-7,,NA
1/3/2016 13:00,2016,1,3,13:00, ,-2.4,,-3,,96,,19,,10,,,,97.17,,,,-6,,NA
1/3/2016 14:00,2016,1,3,14:00, ,-2,,-2.6,,96,,18,,7,,,,97.13,,,,-5,,NA
1/3/2016 15:00,2016,1,3,15:00, ,-1.8,,-2.4,,96,,17,,7,,,,97.12,,,,-4,,NA
1/3/2016 16:00,2016,1,3,16:00, ,-1.9,,-2.4,,96,,18,,7,,,,97.15,,,,-5,,NA
