Date/Time,Year,Month,Day,Time,Data Quality,Temp (¡C),Temp Flag,Dew Point Temp (¡C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h)
1/1/2016 0:00,2016,1,1,0:00, ,-6.8,,-7.7,,93,,29,,10
1/1/2016 1:00,2016,1,1,1:00, ,-7.1,,-8,,94,,29,,8
1/1/2016 2:00,2016,1,1,2:00, ,-7.3,,-7.9,,96,,30,,6
1/1/2016 3:00,2016,1,1,3:00, ,-7.3,,-7.9,,95,,28,,7
1/1/2016 4:00,2016,1,1,4:00, ,-7.4,,-8,,95,,29,,4
1/1/2016 5:00,2016,1,1,5:00, ,-7.4,,-8.1,,95,,29,,6
1/1/2016 6:00,2016,1,1,6:00, ,-7.7,,-8.3,,95,,27,,4
1/1/2016 7:00,2016,1,1,7:00, ,-7.4,,-8,,96,,23,,3
1/1/2016 8:00,2016,1,1,8:00, ,-7.6,,-8.3,,95,,30,,5
1/1/2016 9:00,2016,1,1,9:00, ,-7.2,,-7.9,,95,,26,,4
1/1/2016 10:00,2016,1,1,10:00, ,-6.8,,-7.5,,95,,25,,5
1/1/2016 11:00,2016,1,1,11:00, ,-6,,-7.5,,89,,27,,13
1/1/2016 12:00,2016,1,1,12:00, ,-6,,-8.6,,82,,27,,13
1/1/2016 13:00,2016,1,1,13:00, ,-5.5,,-8.4,,80,,28,,14
1/1/2016 14:00,2016,1,1,14:00, ,-5.2,,-8.6,,77,,28,,11
1/1/2016 15:00,2016,1,1,15:00, ,-4.7,,-8.2,,77,,26,,12
1/1/2016 16:00,2016,1,1,16:00, ,-5.2,,-7.9,,81,,24,,9
1/1/2016 17:00,2016,1,1,17:00, ,-4.9,,-7.1,,84,,23,,8
1/1/2016 18:00,2016,1,1,18:00, ,-5.3,,-7,,88,,19,,3
1/1/2016 19:00,2016,1,1,19:00, ,-4.9,,-6.6,,88,,21,,8
1/1/2016 20:00,2016,1,1,20:00, ,-5.3,,-6.7,,90,,15,,8
1/1/2016 21:00,2016,1,1,21:00, ,-6.8,,-7.3,,96,,20,,8
1/1/2016 22:00,2016,1,1,22:00, ,-6.2,,-7.2,,93,,22,,8
1/1/2016 23:00,2016,1,1,23:00, ,-6.4,,-7.5,,92,,23,,7
1/2/2016 0:00,2016,1,2,0:00, ,-8.6,,-9.3,,95,,26,,6
1/2/2016 1:00,2016,1,2,1:00, ,-8.5,,-8.7,,98,,15,,4
1/2/2016 2:00,2016,1,2,2:00, ,-7.5,,-8,,96,,23,,6
1/2/2016 3:00,2016,1,2,3:00, ,-7.4,,-7.8,,97,,20,,7
1/2/2016 4:00,2016,1,2,4:00, ,-8.7,,-9.1,,97,,21,,8
1/2/2016 5:00,2016,1,2,5:00, ,-7.8,,-8.4,,96,,21,,11
1/2/2016 6:00,2016,1,2,6:00, ,-8.2,,-8.8,,95,,20,,7
1/2/2016 7:00,2016,1,2,7:00, ,-8.5,,-9.4,,93,,19,,11
1/2/2016 8:00,2016,1,2,8:00, ,-8.5,,-9.3,,94,,21,,8
1/2/2016 9:00,2016,1,2,9:00, ,-8.3,,-9.3,,92,,20,,7
1/2/2016 10:00,2016,1,2,10:00, ,-6.5,,-7.8,,91,,19,,10
1/2/2016 11:00,2016,1,2,11:00, ,-5.4,,-7.5,,85,,24,,10
1/2/2016 12:00,2016,1,2,12:00, ,-4,,-6.9,,80,,26,,25
1/2/2016 13:00,2016,1,2,13:00, ,-4,,-6.8,,80,,25,,22
1/2/2016 14:00,2016,1,2,14:00, ,-3.3,,-7.2,,75,,25,,26
1/2/2016 15:00,2016,1,2,15:00, ,-3.6,,-7.1,,77,,25,,26
1/2/2016 16:00,2016,1,2,16:00, ,-3.2,,-6.4,,79,,24,,19
1/2/2016 17:00,2016,1,2,17:00, ,-3.5,,-6.1,,82,,24,,20
1/2/2016 18:00,2016,1,2,18:00, ,-4.1,,-6.4,,84,,24,,18
1/2/2016 19:00,2016,1,2,19:00, ,-4.4,,-6.7,,84,,24,,20
1/2/2016 20:00,2016,1,2,20:00, ,-5.3,,-7.2,,87,,25,,10
